Year-Month,Areal Average Precipitation [cm/day],Total Precipitation Volume [cm/day],Outlet Precipitation  [cm/day],Areal Average Temperature [deg C],Outlet Temperature [deg C],Average Areal Runoff [cm/day],Total Runoff Volume [cm/day],Outlet Runoff [cm/day],Shallow GroundWater Discharge [cm/day],Snow Fall [cm/day],Snow Melt [cm/day],Areal Precipitation + Snow Melt [cm/day],Average Catchment Saturated Storage [cm],Total Areal Saturated storage Volume [cm],Outlet Catchment Saturated storage [cm],Average Areal Evapotranspiration [cm/day],Evapotranspiration [cm/day],Outlet Evapotranspiration [cm/day],Daylight hours [hours],Percolation [cm/day ?],Average Catchment Unsaturated Storage [cm],Total Areal Unsaturated Storage [cm],Outlet Catchment Unsaturated Storage [cm],Modeled Inflow [m3/day],Modeled Outflow [m3/day],Average Deep seepage [cm],Deep seepage [cm],Outlet Deep seepage [cm],Generated Flow [m3/day],Modeled Outflow [m3/s],Observed Flow [m3/s],Daily Demand [m3/day],Actual Daily Demand [m3/day],Reservoir Inflow [m3/s],Reservoir Outflow [m3/s],Reservoir Volume [m3],Generated SedLoad [tonne/day],Routed SedLoad [tonne/day],Sediment Concentration [??],MODFLOW GW Flow [m3/day],Basin Water Balance [% Volume Error]
2008-May,0.8165118549170873,587.5137565988957,0.8747781994944418,24.518448236907897,24.644934590809044,0.03600092787010606,25.90414364058398,0.061267321993835555,25.674520695582277,0.0,0.0,587.5137565988957,5.306272715900631,3818.080776271856,5.977687932196697,0.29209410178462947,210.1736820922141,0.2943338202642085,11.5916619366566,0.24961571379542188,16.530649713868858,11894.480225766914,16.593472357659408,440275.8019568553,515786.6433616627,0.005061718720826034,3.6421141501018854,0.005711148672689323,515786.64336166263,5.969752816685911,12.711720559000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44767330287004303
2008-Jun,0.44664470718718496,321.37917925417435,0.48786739538551477,23.100305928638566,23.232341745473086,0.002363532865546508,1.7006588016081998,0.005194754313778253,59.87614075780084,0.0,0.0,321.37917925417435,11.978956014183332,8619.34998940149,13.429537883286297,0.2649374747009684,190.63337548380952,0.26712092941628635,11.495460570543939,0.18620981214546195,17.887848276133646,12871.04023645748,17.90200380582795,542593.3669500166,615767.9955940902,0.011804550752790658,8.493858253213745,0.013219851699848968,615767.9955940902,7.126944393450118,12.669134552066668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08432479310802578
2008-Jul,0.7787051409694318,560.3102758382857,0.8369501025341528,22.554621350186718,22.697601677612084,0.04867681069739995,35.02496104601786,0.08449480285983794,97.32915707977985,0.0,0.0,560.3102758382857,19.633199296173636,14126.891854768075,21.42153701486805,0.25911060896796057,186.44070668741537,0.26139555217398874,11.547502211698715,0.46399378336533936,17.901770100517933,12881.057559896775,17.90213576062222,1150813.5129454203,1323541.1812579774,0.019188393906715017,13.806836140031628,0.020958552907515623,1323541.1812579774,15.318763671967325,24.698110733870966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31646371073370544
2008-Aug,0.5137281345068186,369.6484556311708,0.5518438838933428,22.915734658400787,23.024715791677984,0.0038325320907333558,2.75766397309837,0.00807640428882968,119.3637653695826,0.0,0.0,369.6484556311708,23.773798112025023,17106.222467324595,26.009463426800675,0.27290232933067304,196.3644149489218,0.2746956311042473,11.727171248114576,0.2648248731361208,17.725789495230263,12754.432299187478,17.725528502891216,1080263.7357433103,1221214.29342681,0.02353250574463354,16.93260271599936,0.025738127417954688,1221214.29342681,14.13442469243993,14.890322439677417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04757200579754137
2008-Sep,0.0907300279562564,65.28397504567268,0.09219409166987741,24.352307311062873,24.465144104423008,0.0,0.0,0.0,107.71242053257531,0.0,0.0,65.28397504567268,21.214213576086976,15264.496450751196,23.350135416805262,0.30849873219263546,221.9774862606211,0.31045797198650954,11.966976146009095,0.0,14.637185290678568,10532.054941240143,14.614969256397352,954578.0514037119,1077124.2053257527,0.021235449025112093,15.27977622697818,0.02337350892573099,1077124.2053257527,12.466715339418435,8.068566512933334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3887001685442551
2008-Oct,0.10738671061461579,77.26914114235126,0.1214165821679193,25.57978961325682,25.664900953824297,0.0,0.0,0.0,84.3405199653048,0.0,0.0,77.26914114235126,16.611063002906832,11952.340884174584,18.283523409614983,0.34414238166336064,247.6245534444362,0.34566959337767406,12.213431741884966,0.0,7.140101650804792,5137.595881921731,7.345558498858977,747449.6330579452,843405.199653048,0.016627690693600438,11.96430518936395,0.018301825234849838,843405.199653048,9.76163425524361,8.001628798838713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37059769694395944
2008-Nov,0.011099988686886563,7.986896959751045,0.012224291542812144,26.69228356666721,26.735460584438425,0.0,0.0,0.0,66.0183590842922,0.0,0.0,7.986896959751045,13.00247049163116,9355.810620018778,14.31160507758985,0.11992443764773936,86.29054978949203,0.13329660228697027,12.413817876613,0.0,0.4392727649552189,316.0747645686432,0.544504979807835,585073.4414838931,660183.590842922,0.01301548597760877,9.365175795814594,0.014325931008598448,660183.590842922,7.6410137829041895,3.600174903866667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21359059137679123
2008-Dec,0.020335038897769806,14.631894223540186,0.02184736666669537,27.094314538291933,27.143684318087406,0.0,0.0,0.0,51.69341385974591,0.0,0.0,14.631894223540186,10.181138968704644,7325.746914680707,11.206211946717675,0.020335038897769806,14.631894223540186,0.02184736666669537,12.504821137079412,0.0,0.0,0.0,0.0,458121.7099073399,516934.138597459,0.010191330299003645,7.333079994675382,0.011217429376093772,516934.138597459,5.983034011544666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08203353784485008
2009-Jan,0.17576077439266088,126.46708336726962,0.17566407853258587,27.247661400356176,27.300386605779998,0.0,0.0,0.0,40.30807449328274,0.0,0.0,126.46708336726962,7.938769706532743,5712.270293408275,8.738073038885796,0.06888787957686701,49.56765375861846,0.07105307353087184,12.450466826643348,0.0,0.22488673383042612,161.81522534707867,0.22246913492731452,357221.60002891114,403080.7449328274,0.007946716422955698,5.7179882816899665,0.00874681985874454,403080.7449328274,4.6652863996855025,2.0167806726774193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042907029389122296
2009-Feb,0.4076568901470869,293.325846393325,0.4164320335600306,26.236254913757172,26.310492339396344,0.001253069520686059,0.9016348959839676,0.0020766071258805714,31.795869264427775,0.0,0.0,293.325846393325,6.262270944035795,4505.960697342458,6.892778468337269,0.3613024399621135,259.97191895277905,0.36264760376623645,12.280478288510734,0.0,2.793129405940738,2009.771125880004,2.8674330448709626,289255.8929997312,326975.0416041175,0.0062685394835193115,4.5104711685109695,0.006899678146483753,326975.0416041175,3.7844333518995077,4.87224290625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005356258904463712
